date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:25	421613/421613	---M--	200	added ('OK')	application/download	date:Sun,%2008%20Sep%202019%2018:30:17%20GMT	http://bertrandmasson.free.fr/index.php?telechargement/Li4vLi4vZGF0YS9kb2N1bWVudHMvbGF0ZXgvY2xhc3Nla29tYS5wZGYqNDFjYWMz	bertrandmasson.free.fr/classekoma079d.pdf	(from http://bertrandmasson.free.fr/index.php?categorie5/latex-koma-script)
20:31:27	6931/-1	---M--	200	added ('OK')	text/xml	date:Sun,%2008%20Sep%202019%2018:31:25%20GMT	http://bertrandmasson.free.fr/feed.php?atom/categorie5	bertrandmasson.free.fr/feed6abd.php	(from http://bertrandmasson.free.fr/index.php?categorie5/latex-koma-script)
20:31:36	529347/529347	---M--	200	added ('OK')	application/download	date:Sun,%2008%20Sep%202019%2018:30:11%20GMT	http://bertrandmasson.free.fr/index.php?telechargement/Li4vLi4vZGF0YS9kb2N1bWVudHMvbGF0ZXgvc2VjdGlvbm5lbWVudC5wZGYqMWM4MWJj	bertrandmasson.free.fr/sectionnementd1e5.pdf	(from http://bertrandmasson.free.fr/index.php?categorie5/latex-koma-script)
20:31:41	28417/-1	---M--	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202019%2018:31:35%20GMT	http://bertrandmasson.free.fr/index.php?article25/latex-inserer-des-illustrations-et-triturer-du-texte	bertrandmasson.free.fr/index38e1.html	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
20:31:46	2576744/2576744	---M--	200	added ('OK')	text/plain	etag:%223a28820-275168-4d41e0e0%22	http://bertrandmasson.free.fr/data/documents/latex/CriseAuSarkozistanExtrait.ogv	bertrandmasson.free.fr/data/documents/latex/CriseAuSarkozistanExtrait.ogv	(from http://bertrandmasson.free.fr/index.php?categorie3/latex)
20:31:51	25869/25869	---M--	200	added ('OK')	application/download	date:Sun,%2008%20Sep%202019%2018:31:45%20GMT	http://bertrandmasson.free.fr/index.php?telechargement/Li4vLi4vZGF0YS9kb2N1bWVudHMvbGF0ZXgvaWxsdXN0cmF0aW9uLnRleCpkM2IyNDg,	bertrandmasson.free.fr/illustration0bf7.tex	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
20:31:54	13726/-1	---M--	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202019%2018:31:50%20GMT	http://bertrandmasson.free.fr/index.php?article24/tikz-le-positionnement-des-node	bertrandmasson.free.fr/indexaddc.html	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
20:32:41	367034/367034	---M--	200	added ('OK')	application/download	date:Sun,%2008%20Sep%202019%2018:31:41%20GMT	http://bertrandmasson.free.fr/index.php?telechargement/Li4vLi4vZGF0YS9kb2N1bWVudHMvbGF0ZXgvaWxsdXN0cmF0aW9uLnBkZipiNDYwZjA,	bertrandmasson.free.fr/illustration77ef.pdf	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
20:32:43	12200/-1	---M--	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202019%2018:32:40%20GMT	http://bertrandmasson.free.fr/index.php?article19/pgf-tikz-modifier-la-forme-des-lignes	bertrandmasson.free.fr/index49f2.html	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
20:32:47	326839/326839	---M--	200	added ('OK')	application/download	date:Sun,%2008%20Sep%202019%2018:31:53%20GMT	http://bertrandmasson.free.fr/index.php?telechargement/Li4vLi4vZGF0YS9kb2N1bWVudHMvbGF0ZXgvbm9kZS5wZGYqYjkxYzVh	bertrandmasson.free.fr/nodec18e.pdf	(from http://bertrandmasson.free.fr/index.php?categorie6/latex-pgf-tikz)
