date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:37	17357/17357	---M-Z	200	added ('OK')	text/html	etag:%2243cd-57b18cc259580-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/humidity/SHT.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/humidity/SHT.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:38	15847/15847	---M-Z	200	added ('OK')	text/html	etag:%223de7-57b410562b940-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/humidity/water-sensor.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/humidity/water-sensor.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:38	15255/15255	---M-Z	200	added ('OK')	text/html	etag:%223b97-57b1896622800-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/motion/pir.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/motion/pir.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:38	15490/15490	---M-Z	200	added ('OK')	text/html	etag:%223c82-57b3c8305c180-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/light/photoresistor.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/light/photoresistor.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:38	15472/15472	---M-Z	200	added ('OK')	text/html	etag:%223c70-57b189394fe40-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/sound/microphone.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/sound/microphone.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:39	25101/25101	---M-Z	200	added ('OK')	text/html	etag:%22620d-57b188d52d200-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/GPS/gps.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/GPS/gps.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:39	19928/19928	---M-Z	200	added ('OK')	text/html	etag:%224dd8-57cfd67499940-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/connecting_OLED/SHT_with_OLED.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/connecting_OLED/SHT_with_OLED.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:39	29347/29347	---M-Z	200	added ('OK')	text/html	etag:%2272a3-57b18716db500-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/board_with_WiFi/board_with_WiFi.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/board_with_WiFi/board_with_WiFi.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:39	25606/25606	---M-Z	200	added ('OK')	text/html	etag:%226406-57c7e549f41c0-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/publish_using_MQTT/publish_using_MQTT.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/publish_using_MQTT/publish_using_MQTT.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:40	15638/15638	---M-Z	200	added ('OK')	text/html	etag:%223d16-57c7e5ec14040-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/lora_sensor.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/lora_sensor.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:40	48712/48712	---M-Z	200	added ('OK')	text/html	etag:%22be48-57cabb5266f00-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/Arduino_lora_demo.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/Arduino_lora_demo.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
